id,brand,product,shade,hex,H,S,L,R,G,B,undertone,skinTone,fitzpatrick,popularity
0001,About Face,The Performer Skin-focused Foundation,L2OLIVE,#F2E0B8,41.4,0.69,83.5,242,224,184,Neutral,Very Fair,I,70
0002,About Face,The Performer Skin-focused Foundation,L2Neutral,#F0D7BA,32.2,0.643,83.5,240,215,186,Cool,Very Fair,I,70
0003,About Face,The Performer Skin-focused Foundation,L2PEACH,#EDCCAA,30.4,0.65,79.8,237,204,170,Neutral,Very Fair,II,70
0004,About Face,The Performer Skin-focused Foundation,LM2OLIVE,#E9CFA3,37.7,0.614,77.6,233,207,163,Neutral,Very Fair,II,70
0005,About Face,The Performer Skin-focused Foundation,LM1COOL,#F4C9A4,27.7,0.784,80.0,244,201,164,Neutral,Very Fair,II,70
0006,About Face,The Performer Skin-focused Foundation,LM1Warm,#EECC9E,34.5,0.702,77.6,238,204,158,Neutral,Very Fair,II,70
0007,About Face,The Performer Skin-focused Foundation,LM2Neutral,#E6C6A0,32.6,0.583,76.5,230,198,160,Neutral,Very Fair,II,70
0008,About Face,The Performer Skin-focused Foundation,LM2PEACH,#F7C79B,28.7,0.852,78.8,247,199,155,Warm,Very Fair,II,70
0009,About Face,The Performer Skin-focused Foundation,LM1Neutral,#EFD4B7,31.1,0.636,82.7,239,212,183,Neutral,Very Fair,I,70
0010,About Face,The Performer Skin-focused Foundation,L1COOL,#FADCC2,27.9,0.848,87.1,250,220,194,Neutral,Very Fair,I,70
0011,About Face,The Performer Skin-focused Foundation,L1Warm,#FBE1BA,36.0,0.89,85.7,251,225,186,Neutral,Very Fair,I,70
0012,About Face,The Performer Skin-focused Foundation,L1Neutral,#FBE2C5,32.2,0.871,87.8,251,226,197,Cool,Very Fair,I,70
0013,About Face,The Performer Skin-focused Foundation,F2OLIVE,#F9EBC7,43.2,0.806,87.8,249,235,199,Neutral,Very Fair,I,70
0014,About Face,The Performer Skin-focused Foundation,F0COOL,#F8EDE7,21.2,0.548,93.9,248,237,231,Neutral,Very Fair,I,70
0015,About Face,The Performer Skin-focused Foundation,F1Warm,#F8EEDA,40.0,0.682,91.4,248,238,218,Neutral,Very Fair,I,70
0016,About Face,The Performer Skin-focused Foundation,M2Neutral,#D8AF86,30.0,0.513,68.6,216,175,134,Warm,Fair,II,70
0017,About Face,The Performer Skin-focused Foundation,M2COOL,#E2B996,27.6,0.567,73.7,226,185,150,Neutral,Fair,II,70
0018,About Face,The Performer Skin-focused Foundation,M2OLIVE,#D3B787,37.9,0.463,67.8,211,183,135,Neutral,Fair,II,70
0019,About Face,The Performer Skin-focused Foundation,M1Neutral,#E4BE8F,33.2,0.612,72.7,228,190,143,Warm,Fair,II,70
0020,About Face,The Performer Skin-focused Foundation,M1PEACH,#DEB68A,31.4,0.56,70.6,222,182,138,Warm,Fair,II,70
0021,About Face,The Performer Skin-focused Foundation,M1Warm,#E4BE85,36.0,0.638,70.8,228,190,133,Warm,Fair,II,70
0022,About Face,The Performer Skin-focused Foundation,M3Warm,#E1B580,32.8,0.618,69.2,225,181,128,Warm,Fair,II,70
0023,About Face,The Performer Skin-focused Foundation,M3PEACH,#DEAE83,28.4,0.58,69.2,222,174,131,Warm,Fair,II,70
0024,About Face,The Performer Skin-focused Foundation,MD1Warm,#D4A162,33.2,0.57,60.8,212,161,98,Warm,Light Medium,III,70
0025,About Face,The Performer Skin-focused Foundation,MD2OLIVE,#C09558,35.2,0.452,54.9,192,149,88,Warm,Light Medium,III,70
0026,About Face,The Performer Skin-focused Foundation,MD3Warm,#B58348,32.5,0.431,49.6,181,131,72,Warm,Medium,IV,70
0027,About Face,The Performer Skin-focused Foundation,MD2Neutral,#C19158,32.6,0.459,55.1,193,145,88,Warm,Light Medium,III,70
0028,About Face,The Performer Skin-focused Foundation,MD3COOL,#BE8A5F,27.2,0.422,55.9,190,138,95,Warm,Light Medium,III,70
0029,About Face,The Performer Skin-focused Foundation,MD1Neutral,#CD9966,29.7,0.507,60.2,205,153,102,Warm,Light Medium,III,70
0030,About Face,The Performer Skin-focused Foundation,MD1OLIVE,#C99D5B,36.0,0.505,57.3,201,157,91,Warm,Light Medium,III,70
0031,About Face,The Performer Skin-focused Foundation,F1Neutral,#FDEDDB,31.8,0.895,92.5,253,237,219,Neutral,Very Fair,I,70
0032,About Face,The Performer Skin-focused Foundation,F2COOL,#F0DFCE,30.0,0.531,87.5,240,223,206,Neutral,Very Fair,I,70
0033,About Face,The Performer Skin-focused Foundation,RD2COOL,#693E29,19.7,0.438,28.6,105,62,41,Neutral,Deep,V,70
0034,About Face,The Performer Skin-focused Foundation,RD3COOL,#3E2C20,24.0,0.319,18.4,62,44,32,Neutral,Very Deep,VI,70
0035,About Face,The Performer Skin-focused Foundation,RD1Neutral,#664530,23.3,0.36,29.4,102,69,48,Cool,Deep,V,70
0036,About Face,The Performer Skin-focused Foundation,RD2Neutral,#693E24,22.6,0.489,27.6,105,62,36,Neutral,Deep,V,70
0037,About Face,The Performer Skin-focused Foundation,RD3Neutral,#573C29,24.8,0.359,25.1,87,60,41,Cool,Deep,VI,70
0038,About Face,The Performer Skin-focused Foundation,D4Neutral,#795027,30.0,0.512,31.4,121,80,39,Warm,Tan,V,70
0039,About Face,The Performer Skin-focused Foundation,D4COOL,#7D4F2F,24.6,0.453,33.7,125,79,47,Neutral,Tan,V,70
0040,About Face,The Performer Skin-focused Foundation,D3OLIVE,#8B6234,31.7,0.455,37.5,139,98,52,Warm,Tan,IV,70
0041,About Face,The Performer Skin-focused Foundation,D3Neutral,#956036,26.5,0.468,39.8,149,96,54,Warm,Tan,IV,70
0042,About Face,The Performer Skin-focused Foundation,D2OLIVE,#AA7938,34.2,0.504,44.3,170,121,56,Warm,Medium,IV,70
0043,About Face,The Performer Skin-focused Foundation,D2COOL,#AF7555,21.3,0.36,51.0,175,117,85,Neutral,Medium,IV,70
0044,About Face,The Performer Skin-focused Foundation,D1Neutral,#A7784C,29.0,0.374,47.6,167,120,76,Warm,Medium,IV,70
0045,About Face,The Performer Skin-focused Foundation,D1OLIVE,#AC7F4C,31.9,0.387,48.6,172,127,76,Warm,Medium,IV,70
0046,Ami Colé,Skin-Enhancing Stick,110,#46291A,20.5,0.458,18.8,70,41,26,Cool,Very Deep,VI,50
0047,Ami Colé,Skin-Enhancing Stick,120,#6C3C26,18.9,0.479,28.6,108,60,38,Neutral,Deep,V,50
0048,Ami Colé,Skin-Enhancing Stick,130,#72402A,18.3,0.462,30.6,114,64,42,Neutral,Deep,V,50
0049,Ami Colé,Skin-Enhancing Stick,140,#7B442B,18.8,0.482,32.5,123,68,43,Neutral,Tan,V,50
0050,Ami Colé,Skin-Enhancing Stick,150,#744229,20.0,0.478,30.8,116,66,41,Neutral,Deep,V,50
0051,Ami Colé,Skin-Enhancing Stick,200,#9F5C37,21.3,0.486,42.0,159,92,55,Neutral,Tan,IV,50
0052,Ami Colé,Skin-Enhancing Stick,210,#A9643F,20.9,0.457,45.5,169,100,63,Neutral,Medium,IV,50
0053,Ami Colé,Skin-Enhancing Stick,220,#9D5D33,23.8,0.51,40.8,157,93,51,Warm,Tan,IV,50
0054,Ami Colé,Skin-Enhancing Stick,230,#AA6A43,22.7,0.435,46.5,170,106,67,Neutral,Medium,IV,50
0055,Ami Colé,Skin-Enhancing Stick,240,#BC7746,24.9,0.468,50.6,188,119,70,Warm,Medium,IV,50
0056,Ami Colé,Skin-Enhancing Stick,300,#DA9765,25.6,0.613,62.5,218,151,101,Warm,Light Medium,III,50
0057,Ami Colé,Skin-Enhancing Stick,310,#D8985E,28.5,0.61,60.8,216,152,94,Warm,Light Medium,III,50
0058,Ami Colé,Skin-Enhancing Stick,320,#E8AF73,30.8,0.718,68.0,232,175,115,Warm,Fair,II,50
